firm_id,baseline_employees,total_grant_amount,grant_stage1_amount,grant_stage2_total_amount,grant_stage3_amount,post_grant_permanent_employees,post_grant_temporary_employees,total_employees_post_grant
12970,3,5700000.0,570000.0,2280000.0,1425000.0,1,10,110
13001,8,4200000.0,350000.0,2550000.0,650000.0,15,9,159
13009,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
13012,20,6000000.0,600000.0,2400000.0,1500000.0,10,25,1025
13050,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
13075,Four,0.0,0.0,0.0,0.0,5,2,52
13080,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
13131,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
13133,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
13146,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
13148,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
